ID	Ime Recepta	Kategorija	Sastojci (Lista za kupovinu)	Koraci Pripreme (Instrukcije)			
22	Pasta Aglio e Olio	Brzo/Vegansko	Testenina (300g), maslinovo ulje (dosta), beli luk (5-6 čena), tucana ljuta paprika (chili flakes), peršun.	(1) Skuvati pastu. (2) U tiganju na laganoj vatri zagrejati ulje. Dodati beli luk narezan na listiće i ljutu papriku. Dinstati dok luk ne postane zlatast. (3) Pomešati oceđenu pastu sa uljem, posuti peršunom.			
23	Čia Puding sa Voćem	Doručak/Desert	Čia semenke (3 kaš.), mleko (biljno ili obično) (200ml), med/javorov sirup, vanilin šećer. Topping: Sveže voće.	(1) Pomešati čia semenke sa mlekom, zaslađivačem i vanilom. (2) Ostaviti u frižideru najmanje 2 sata (najbolje preko noći). (3) Servirati sa svežim voćem.			
24	Potaž od Tikvica i Mirođije	Supa/Čorba	Tikvice (500g), luk (1), bujon (500ml), pavlaka za kuvanje/neutralna (50ml), mirođija, ulje, so.	(1) Dinstati luk. Dodati tikvice iseckane na kocke i dinstati 5 min. (2) Uliti bujon. Kuvati dok tikvice ne omekšaju. (3) Izmiksati, dodati pavlaku i mirođiju. Prokuvati.			
25	Humus (Osnovni Recept)	Vegansko/Dip	Leblebija (iz konzerve/skuvan) (400g), tahini pasta (3 kaš.), sok od limuna (2 kaš.), beli luk (1 čen), ledena voda, maslinovo ulje.	(1) Izmiksati leblebije u blenderu. Dodati tahini, sok od limuna, beli luk, so. (2) Postepeno dodavati ledenu vodu dok se ne dobije kremasta tekstura. (3) Servirati preliveno maslinovim uljem.			
26	Tuna Salata sa Pastom	Salata/Lagano Jelo	Testenina (200g), tunjevina iz konzerve (2), majonez/pavlaka, kukuruz, kiseli krastavci, luk (crveni), so, biber.	(1) Skuvati i ohladiti testeninu. (2) Pomešati tunjevinu, seckani luk, kukuruz i seckane krastavce. (3) Dodati majonez (ili pavlaku), začine i pomešati sa pastom. (4) Služiti rashlađeno.			
27	Zapečene Palačinke sa Sirom	Tradicionalno Jelo	Palačinke (10-12), mladi sir/svapski sir (500g), pavlaka (200g), jaje (1), so.	(1) Pomešati sir, pavlaku, jaje i so. (2) Puniti palačinke nadevom, urolati. (3) Složiti u tepsiju. Preliti sa malo pavlake. (4) Peći na 200∘C dok ne porumene.			
28	Jaja Benedikt (Osnovni)	Doručak	Jaja (4), engleski mafini (4), šunka/slanina (4 šnite). Hollandaise sos: žumanca (2), maslac (125g), limunov sok.	(1) Napraviti Hollandaise sos (na pari umutiti žumanca, dodavati otopljen maslac i limunov sok). (2) Ispržiti šunku/slaninu. (3) Napraviti poširana jaja. (4) Na polovinu mafina staviti šunku, jaje, pa preliti sosom.			
29	Griz na Mleku	Doručak/Desert	Mleko (500ml), griz (4 kaš.), šećer (2 kaš.), vanilin šećer.	(1) Mleko i šećer staviti da provri. (2) Polako sipati griz uz stalno mešanje. (3) Kuvati par minuta dok se ne zgusne. (4) Servirati toplo, posuto cimetom, kakaom ili orasima.			
30	Boranija sa Junetinom	Glavno Jelo	Boranija (500g), junetina (300g), luk (1), beli luk, paradajz (pasirani) (200ml), ulje, so, biber, aleva paprika.	(1) Dinstati seckanu junetinu i luk. (2) Dodati boraniju, beli luk i alevu papriku. (3) Uliti paradajz i malo vode. (4) Krčkati poklopljeno dok meso i boranija ne omekšaju (oko 1 sat).			
31	Tiramisu (Brza Varijanta)	Desert	Piškote (200g), maskarpone sir (250g), slatka pavlaka (200ml), šećer u prahu, kafa (jaka) (200ml), kakao.	(1) Umutiti maskarpone, slatku pavlaku i šećer. (2) Kratko umočiti piškote u ohlađenu kafu. (3) Slagati: piškote - krem - piškote - krem. (4) Posuti kakaom. Hladiti min. 3 sata.			
32	Američke Palačinke (Pancakes)	Doručak/Desert	Brašno (200g), mleko (200ml), jaje (1), šećer (2 kaš.), prašak za pecivo (1 kaš.), ulje.	(1) Pomešati suve sastojke. (2) U drugoj posudi pomešati jaje, mleko i ulje. (3) Sjediniti mokre i suve sastojke, mešati kratko. (4) Peći na malo ulja male, deblje palačinke.			
33	Čokoladni Mafini	Desert	Brašno (200g), šećer (150g), kakao (3 kaš.), jaja (2), ulje (100ml), mleko (100ml), prašak za pecivo, čokolada (seckana) (50g).	(1) Pomešati suve sastojke (brašno, šećer, kakao, P.P.). (2) Pomešati mokre sastojke (jaja, ulje, mleko). (3) Sjediniti. Dodati seckanu čokoladu. (4) Puniti kalupe za mafine. Peći na 180∘C oko 20 min.			
34	Baklava (Brzi Recept)	Desert	Gotove kore (500g), orasi (300g), maslac (200g). Sirup: Šećer (500g), voda (300ml), limun.	(1) Istopiti maslac. Kore ređati premazujući maslacem. Posipati orasima u sredini. (2) Iseći baklavu. Preliti ostatkom maslaca. Peći na 180∘C dok ne porumeni. (3) Skuvati sirup. Vruću baklavu preliti hladnim sirupom.			
35	Rolat od Keksa i Banane	Desert (Bez Pečenja)	Mleveni keks (300g), maslac (100g), mleko/sok (100ml), kakao (1 kaš.), banane (2).	(1) Pomešati keks, otopljen maslac, mleko/sok i kakao. (2) Smesu razviti na foliji. (3) Na sredinu staviti cele banane. (4) Uviti rolat. Hladiti 2-3 sata.			
36	Proja sa Sirom	Pecivo	Kukuruzno brašno (200g), pšenično brašno (100g), jaja (2), jogurt (200ml), ulje (100ml), prašak za pecivo, sir (sitni) (200g), so.	(1) Pomešati sve suve sastojke. (2) Umešati jaja, jogurt i ulje. (3) Dodati sir i promešati. (4) Sipati u podmazan pleh ili kalupe. Peći na 200∘C oko 30 min.			
37	Pita od Višanja (Preklopljena)	Desert	Gotove kore (500g), višnje (sveže/zamrznute) (500g), šećer (150g), ulje.	(1) Pomešati višnje i šećer. (2) Uzeti dve kore, premazati uljem. Na kraj staviti deo višanja. Uviti krajeve i urolati. (3) Peći na 180∘C dok ne porumeni. (4) Pečenu pitu posuti šećerom u prahu.			
38	Krofnice (Mini)	Desert	Brašno (300g), kvasac (1/2 kocke), šećer, mleko (200ml), jaje (1), korica limuna, ulje za prženje.	(1) Zamesiti testo od kvasca, mleka, brašna, jajeta i šećera. Ostaviti da naraste. (2) Razvući testo i modlom vaditi mini krofne. (3) Pržiti u dubokom ulju. (4) Posuti šećerom u prahu ili preliti čokoladom.			
39	Cheesecake u Čaši	Desert (Bez Pečenja)	Mleveni keks (150g), maslac (50g), krem sir (250g), slatka pavlaka (150ml), šećer, vanila. Topping: Bilo koji voćni preliv.	(1) Keks pomešati sa otopljenim maslacem. Složiti na dno čaše. (2) Umutiti krem sir, pavlaku i šećer. (3) Redati: keks, krem, keks, krem. (4) Preliti voćnim prelivom i hladiti.			
40	Brzi Hleb sa Kvascem	Pecivo	Brašno (500g), svež kvasac (1/2 kocke), voda (300ml), so (1 kašičica), šećer (1 kašičica), ulje.	(1) Aktivirati kvasac (u toploj vodi sa šećerom). (2) Zamesiti testo sa brašnom i solju. Ostaviti da naraste (30 min). (3) Oblikovati hleb i peći na 200∘C oko 35 min.			
41	Chili con Carne	Glavno Jelo	Mleveno meso (400g), crveni pasulj (konzerva) (400g), pasirani paradajz (400ml), luk, beli luk, chili prah, kumin, origano.	(1) Dinstati luk i meso. (2) Dodati beli luk i začine (chili, kumin). (3) Uliti paradajz i dodati pasulj. (4) Krčkati 30-45 minuta. Služiti uz pirinač ili tortilja čips.			
42	Pica Testo (Osnovni Recept)	Testo	Brašno (500g), topla voda (300ml), svež kvasac (20g), so (1 kaš.), šećer (1 kaš.), maslinovo ulje (3 kaš.).	(1) Aktivirati kvasac. (2) Zamesiti testo sa brašnom, uljem i solju. (3) Ostaviti da naraste (1 sat). (4) Razvući testo i peći sa omiljenim dodacima.			
43	Slatki Kupus (Podvarak)	Tradicionalno Jelo	Sveži kupus (1 kg), dimljena slanina/šunka (200g), luk (1), aleva paprika, so, biber, lovorov list.	(1) Iseći kupus na rezance. (2) Propržiti slaninu i luk. (3) Dodati kupus, alevu papriku, lovor i dinstati na umerenoj vatri 1-2 sata. (4) Može se zapeći u rerni.			
44	Pomfrit iz Rerne	Prilog	Krompir (1 kg), maslinovo ulje (2 kašike), so, paprika u prahu, suvi začini.	(1) Krompir iseći na štapiće. Pomešati sa uljem i začinima. (2) Rasporediti u jednom sloju na plehu obloženom papirom za pečenje. (3) Peći na 220∘C oko 30-35 min.			
45	Pohovani Kačkavalj	Predjelo/Prilog	Kačkavalj (tvrd) (300g), brašno, jaja, prezle, ulje za prženje.	(1) Kačkavalj iseći na deblje štapiće. (2) Dva puta panirati: Brašno - Jaja - Prezle - Jaja - Prezle (za deblju koru). (3) Pržiti u dubokom, zagrejanom ulju kratko sa obe strane.			
46	Gulaš od Telećeg Mesa	Glavno Jelo	Teleće meso (500g), luk (3 gl.), aleva paprika (slatka), paradajz pire (1 kaš.), so, biber, lovor.	(1) Dinstati puno luka dok ne postane karamelizovan. (2) Dodati meso isečeno na kocke. Dinstati dok ne pobeli. (3) Dodati alevu papriku, paradajz pire i naliti vodom da prekrije. (4) Krčkati 2-3 sata na tihoj vatri.			
47	Pečena Skuša (Riba)	Glavno Jelo (Riba)	Skuša (4 kom), maslinovo ulje, limun (1), beli luk (4 čena), peršun, so, biber.	(1) Ribu očistiti i zarezati. Posoliti i pobiberiti. (2) Unutra staviti beli luk, peršun i kriške limuna. (3) Preliti uljem. (4) Peći na 200∘C oko 25-30 min.			
48	Slatke Knedle sa Šljivama	Desert	Krompir (500g), brašno (200g), jaje (1), so. Nadev: Sveže/smrznute šljive, šećer, cimet. Preliv: Prezle, ulje/maslac, šećer.	(1) Skuvati i izgnječiti krompir. Umešati brašno, jaje i so. (2) Razvući testo, seći kvadrate. Puniti šljivom i šećerom. (3) Kuvati knedle dok ne isplivaju. (4) Uvaljati u propržene prezle sa šećerom.			
49	Brza Supa od Povrća sa Rezancima	Supa/Čorba	Mešavina povrća (zamrznuta) (400g), bujon (1 L), sitni rezanci (50g), peršun, so.	(1) Bujon (ili voda sa kockom) staviti da proključa. (2) Dodati smrznuto povrće. (3) Kada ponovo proključa, dodati rezance. (4) Kuvati dok rezanci ne budu gotovi (oko 8-10 min). Posuti peršunom.			
50	Piletina u Medu i Soja Sosi	Glavno Jelo	Pileći file (500g), med (2 kaš.), soja sos (4 kaš.), beli luk (2 čena), đumbir (malo), susam.	(1) Piletinu iseći na kocke. (2) Pomešati med, soja sos, protisnuti beli luk i đumbir. (3) U marinadu staviti piletinu 15 min. (4) Pržiti piletinu sa marinadom u tiganju dok se sos ne zgusne. Posuti susamom.			
